"0x8afbd8","Item/Weapon Number","End of List?","No. of Chars to Display (1 or 2)","Zero","Ranged Animation to Use","Ranged Animation Enabled","Zero","Zero","Alternate Pointer","***UNKNOWN*** (Use 0x01 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","Zero"
"0x80","0x5a","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x81","0xa7","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x82","0xad","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x83","0xae","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x84","0xaf","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x85","0xb0","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x86","0x8b","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x87","0xb1","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x88","0xb2","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x89","0xb3","0x0","2","0x0","0x43","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x8a","0xb4","0x0","2","0x0","0x42","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x8b","0xb5","0x0","2","0x0","0x3e","0x0","0x0","0x0","0x89a4e04","0x1","0x0","0x0","0x0"
"0x8c","0xab","0x0","2","0x0","0x45","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x8d","0x87","0x0","2","0x0","0x3f","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x8e","0x4a","0x0","2","0x0","0x41","0x0","0x0","0x0","0x0","0x1","0x0","0x1","0x0"
"0x8f","0xac","0x0","2","0x0","0x44","0x0","0x0","0x0","0x0","0x1","0x0","0x1","0x0"
"0x90","0x8f","0x0","2","0x0","0x46","0x0","0x0","0x0","0x0","0x1","0x0","0x1","0x0"
"0x91","0xc","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x92","0x85","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x93","0x78","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x94","0x8d","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x95","0x8e","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x96","0x91","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x97","0x92","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x98","0x93","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x99","0x94","0x0","2","0x0","0x2","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9a","0x2c","0x0","2","0x0","0x1","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9b","0x86","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9c","0x8c","0x0","1","0x0","0x2b","0x0","0x0","0x0","0x89a489c","0x0","0x1","0x0","0x0"
"0x9d","0xa6","0x0","2","0x0","0xff","0xff","0x0","0x0","0x89a481c","0x0","0x0","0x0","0x0"
"0x9e","0xa8","0x0","2","0x0","0x40","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9f","0xa9","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xa0","0xaa","0x0","2","0x0","0x13","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xa1","0xff","0xff","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xa2","0x1","0x1","0","0x5","0x5","0x5","0x0","0x0","0x10002","0x5","0x5","0x5","0x0"
"0xa3","0x3","0x1","0","0x5","0x0","0x5","0x5","0x0","0x5010004","0x5","0x0","0x5","0x0"
"0xa4","0x5","0x0","0","0x5","0x5","0x5","0x5","0x0","0x5010106","0x0","0x5","0x0","0x0"
"0xa5","0x7","0x1","1","0x0","0x5","0x0","0x5","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa6","0xb4","0x32","28","0x8","0xa0","0x32","0x1c","0x8","0x803","0x94","0x32","0x1c","0x8"
"0xa7","0x84","0x32","28","0x8","0x4","0x8","0x0","0x0","0x81c3278","0x68","0x32","0x1c","0x8"
"0xa8","0x4","0x8","0","0x0","0x58","0x32","0x1c","0x8","0x81c3244","0x3","0x8","0x0","0x0"
"0xa9","0x1","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x2","0x0","0x0","0x0"
"0xaa","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0x81c322c","0x18","0x32","0x1c","0x8"
"0xab","0x3","0x6","0","0x0","0xf8","0x31","0x1c","0x8","0x81c31e4","0x3","0x6","0x0","0x0"
"0xac","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0xd4","0x31","0x1c","0x8"
"0xad","0xc4","0x31","28","0x8","0x4","0x8","0x0","0x0","0x81c31ac","0x9c","0x31","0x1c","0x8"
"0xae","0x4","0x6","0","0x0","0x8c","0x31","0x1c","0x8","0x81c3178","0x3","0x8","0x0","0x0"
"0xaf","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x68","0x31","0x1c","0x8"
"0xb0","0x58","0x31","28","0x8","0x4","0x8","0x0","0x0","0x81c3144","0x34","0x31","0x1c","0x8"
"0xb1","0x3","0x8","0","0x0","0x24","0x31","0x1c","0x8","0x81c3110","0x3","0x8","0x0","0x0"
"0xb2","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x31","0x1c","0x8"
"0xb3","0xf0","0x30","28","0x8","0x4","0x8","0x0","0x0","0x81c30e0","0xcc","0x30","0x1c","0x8"
"0xb4","0x3","0x8","0","0x0","0xb8","0x30","0x1c","0x8","0x81c309c","0x4","0x7","0x0","0x0"
"0xb5","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x90","0x30","0x1c","0x8"
"0xb6","0x84","0x30","28","0x8","0x4","0x8","0x0","0x0","0x81c307c","0x6c","0x30","0x1c","0x8"
"0xb7","0x4","0x8","0","0x0","0x2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x58","0x30","28","0x8","0x48","0x30","0x1c","0x8","0x804","0x38","0x30","0x1c","0x8"
"0xb9","0x14","0x30","28","0x8","0x3","0x7","0x0","0x0","0x2","0x0","0x0","0x0","0x0"
"0xba","0x0","0x0","0","0x0","0x0","0x30","0x1c","0x8","0x81c2fc4","0x3","0x5","0x0","0x0"
"0xbb","0xb0","0x2f","28","0x8","0xa0","0x2f","0x1c","0x8","0x804","0x8c","0x2f","0x1c","0x8"
"0xbc","0x6c","0x2f","28","0x8","0x3","0x7","0x0","0x0","0x2","0x0","0x0","0x0","0x0"
"0xbd","0x0","0x0","0","0x0","0x58","0x2f","0x1c","0x8","0x81c2f48","0x4","0x8","0x0","0x0"
"0xbe","0x3c","0x2f","28","0x8","0x20","0x2f","0x1c","0x8","0x704","0x10","0x2f","0x1c","0x8"
"0xbf","0xf4","0x2e","28","0x8","0x3","0x7","0x0","0x0","0x2","0x0","0x0","0x0","0x0"
"0xc0","0x0","0x0","0","0x0","0xe0","0x2e","0x1c","0x8","0x81c2ed0","0x3","0x8","0x0","0x0"
"0xc1","0xbc","0x2e","28","0x8","0xb0","0x2e","0x1c","0x8","0x804","0x2","0x0","0x0","0x0"
"0xc2","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0x81c2ea0","0x4c","0x2e","0x1c","0x8"
"0xc3","0x3","0x4","0","0x0","0x0","0x0","0x0","0x0","0x81c2e08","0x3","0x4","0x0","0x0"
"0xc4","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc5","0xc8","0x2d","28","0x8","0x3","0x4","0x0","0x0","0x0","0x84","0x2d","0x1c","0x8"
"0xc6","0x3","0x4","0","0x0","0x0","0x0","0x0","0x0","0x81c2d58","0x3","0x5","0x0","0x0"
"0xc7","0x2","0x0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc8","0x44","0x2d","28","0x8","0x1","0x7","0x0","0x0","0x0","0xcc","0x2c","0x1c","0x8"
"0xc9","0x3","0x0","0","0x0","0x0","0x0","0x0","0x0","0x81c2c4c","0x3","0x0","0x0","0x0"
"0xca","0x0","0x0","0","0x0","0xd4","0x2b","0x1c","0x8","0x3","0x2","0x0","0x0","0x0"
"0xcb","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0x81c32c8","0x1","0x0","0x2","0x3"
"0xcc","0x4","0x5","0","0x6","0x0","0x0","0x0","0x0","0x1","0x10","0x0","0x9","0x0"
"0xcd","0x13","0x0","19","0x0","0x9","0x0","0x13","0x0","0x90013","0xff","0xff","0xb","0x0"
"0xce","0xff","0xff","255","0xff","0x32","0x5","0x5","0x5","0x6060605","0x6","0x7","0x7","0x7"
"0xcf","0x7","0x8","8","0x8","0x8","0x0","0x64","0x0","0x640064","0x64","0x0","0x50","0x0"
"0xd0","0x50","0x0","80","0x0","0x50","0x0","0x3c","0x0","0x3c003c","0x3c","0x0","0x28","0x0"
"0xd1","0x28","0x0","40","0x0","0x28","0x0","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xd2","0x24","0x4","0","0x0","0x24","0x4","0x0","0x0","0x1600160","0x7","0x1","0x0","0x0"
"0xd3","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0xffff0000","0x0","0x0","0x1","0x1"
"0xd4","0xa2","0x1","157","0x1","0x3","0x0","0x0","0xff","0x1d00","0xcc","0x32","0x1c","0x8"
"0xd5","0x1","0x0","2","0x3","0x8","0x5","0x0","0x9","0x10000","0x1","0x0","0x0","0x0"
"0xd6","0x10","0x0","9","0x0","0x13","0x0","0xf","0x0","0x130009","0xf","0x0","0xff","0xff"
"0xd7","0xff","0xff","11","0x0","0xff","0xff","0xff","0xff","0x5050532","0x5","0x6","0x6","0x6"
"0xd8","0x6","0x7","7","0x7","0x7","0x8","0x8","0x8","0x640008","0x64","0x0","0x64","0x0"
"0xd9","0x64","0x0","80","0x0","0x50","0x0","0x50","0x0","0x3c0050","0x3c","0x0","0x3c","0x0"
"0xda","0x3c","0x0","40","0x0","0x28","0x0","0x28","0x0","0x28","0x24","0x4","0x0","0x0"
"0xdb","0x24","0x4","0","0x0","0x24","0x4","0x0","0x0","0x424","0x61","0x1","0x61","0x1"
"0xdc","0xa","0x2","0","0x0","0x0","0x0","0x0","0x0","0x0","0x2","0x0","0xff","0xff"
"0xdd","0x0","0x0","1","0x0","0xa3","0x1","0x9f","0x1","0xff000000","0x0","0x18","0x0","0x0"
"0xde","0xd0","0x32","28","0x8","0x1","0x0","0x2","0x3","0xc00050b","0x0","0x0","0x2","0x0"
"0xdf","0x1","0x0","0","0x0","0x24","0x2","0x9","0x0","0xf0013","0x9","0x0","0x13","0x0"
"0xe0","0xf","0x0","255","0xff","0xff","0xff","0xb","0x0","0xffffffff","0x32","0x5","0x5","0x5"
"0xe1","0x5","0x6","6","0x6","0x6","0x7","0x7","0x7","0x8080807","0x8","0x0","0x64","0x0"
"0xe2","0x64","0x0","100","0x0","0x64","0x0","0x50","0x0","0x500050","0x50","0x0","0x3c","0x0"
"0xe3","0x3c","0x0","60","0x0","0x3c","0x0","0x28","0x0","0x280028","0x28","0x0","0x0","0x0"
"0xe4","0x24","0x4","0","0x0","0x24","0x4","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xe5","0x62","0x1","98","0x1","0xd","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe6","0x4","0x0","255","0xff","0x0","0x0","0x1","0x1","0x19e01a4","0x1","0x0","0x0","0xff"
"0xe7","0x0","0x3","0","0x0","0xd4","0x32","0x1c","0x8","0x100f000e","0x11","0x12","0x0","0x13"
"0xe8","0x0","0x0","3","0x0","0x8","0xa","0x0","0x5","0x90224","0x13","0x0","0xf","0x0"
"0xe9","0x9","0x0","19","0x0","0xf","0x0","0xff","0xff","0xbffff","0xff","0xff","0xff","0xff"
"0xea","0x19","0x5","5","0x5","0x5","0x6","0x6","0x6","0x7070706","0x7","0x8","0x8","0x8"
"0xeb","0x8","0x0","100","0x0","0x64","0x0","0x64","0x0","0x500064","0x50","0x0","0x50","0x0"
"0xec","0x50","0x0","60","0x0","0x3c","0x0","0x3c","0x0","0x28003c","0x28","0x0","0x28","0x0"
"0xed","0x28","0x0","0","0x0","0x24","0x4","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xee","0x24","0x4","0","0x0","0x63","0x1","0x63","0x1","0x414","0x0","0x0","0x0","0x0"
"0xef","0x0","0x0","0","0x0","0x6","0x0","0xff","0xff","0x1010000","0xa5","0x1","0xa1","0x1"
"0xf0","0x0","0x0","0","0xff","0x0","0x28","0x0","0x0","0x81c32d8","0x1","0x0","0x2","0x3"
"0xf1","0x15","0x5","0","0x16","0x0","0x0","0x4","0x0","0x1","0x34","0x2","0x9","0x0"
"0xf2","0x13","0x0","15","0x0","0x9","0x0","0x13","0x0","0xffff000f","0xff","0xff","0xb","0x0"
"0xf3","0xff","0xff","255","0xff","0x32","0x5","0x5","0x5","0x6060605","0x6","0x7","0x7","0x7"
"0xf4","0x7","0x8","8","0x8","0x8","0x0","0x64","0x0","0x640064","0x64","0x0","0x50","0x0"
"0xf5","0x50","0x0","80","0x0","0x50","0x0","0x3c","0x0","0x3c003c","0x3c","0x0","0x28","0x0"
"0xf6","0x28","0x0","40","0x0","0x28","0x0","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xf7","0x24","0x4","0","0x0","0x24","0x4","0x0","0x0","0x1640164","0x17","0x5","0x0","0x0"
"0xf8","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0xffff0008","0x0","0x0","0x1","0x0"
"0xf9","0xa6","0x1","158","0x1","0x1","0x0","0x0","0xff","0x1800","0xdc","0x32","0x1c","0x8"
"0xfa","0x18","0x0","25","0x1a","0x1b","0x1c","0x0","0x1d","0x50000","0x1","0x0","0x0","0x0"
"0xfb","0x32","0x0","11","0x0","0x13","0x0","0xf","0x0","0x13000b","0xf","0x0","0xff","0xff"
"0xfc","0xff","0xff","11","0x0","0xff","0xff","0xff","0xff","0x5050532","0x5","0x6","0x6","0x6"
"0xfd","0x6","0x7","7","0x7","0x7","0x8","0x8","0x8","0x640008","0x64","0x0","0x64","0x0"
"0xfe","0x64","0x0","80","0x0","0x50","0x0","0x50","0x0","0x3c0050","0x3c","0x0","0x3c","0x0"
